rho_core_over_rho_core_sun,BP_RP_model,M_G_model,log10_g_cm_s2,T_photo_K
1e-05,2.4046632501961147,23.779593930426792,0.9353888365892511,135.5746626738031
1e-05,2.3953112199311115,23.242413264300303,0.9923753164295468,143.72562167322843
1e-05,2.374621866722795,22.154548528177855,1.100264501678656,163.17727623419094
1e-05,2.3635523427018397,21.607914674114454,1.1518635474619652,174.42571611423062
1e-05,2.3164570351828497,19.443648831707932,1.3496108334322918,229.41269409288378
1e-05,2.304251572544931,18.912383456448076,1.3974426730546732,245.68329777238833
1e-05,2.2915347359158402,18.376926306498767,1.4448448847371549,263.5803575249021
1e-05,2.37777342834631,23.158182958724787,0.9147361031784713,160.08409829931028
1e-05,2.345142682630795,21.433716568328833,1.0906782181821872,194.50398724229262
1e-05,2.334061253825402,20.889486277072933,1.1438245100971658,207.45088418488962
1e-05,2.2995217932996104,19.297811982991405,1.2938264198549594,252.22547915933694
1e-05,2.287393495668992,18.770553874154047,1.3418821837586425,269.6219241504009
1e-05,2.2234827635681738,16.15356565033821,1.5785878787422656,377.0348229990088
1e-05,2.3853373108759883,24.711838278146182,0.6435222970379448,152.8533381258335
1e-05,2.373291019284439,23.910129761690968,0.7399422337546253,164.49786533814338
1e-05,2.3395957768321627,21.94290965832179,0.9599106404200237,200.9018147734673
1e-05,2.328458900111477,21.369899020339986,1.0189035067984569,214.25138852323218
1e-05,2.280443440121661,19.13522144171285,1.2338296736789913,280.0015415526286
1e-05,2.2549726424147702,18.048379789139588,1.334052774346095,320.6918352562954
1e-05,2.2040928135137388,15.962754779166007,1.528748896923828,415.22263642492254
1e-05,2.074095308136264,11.602594587332867,1.906224070369392,746.5540255126725
1e-05,2.296912556113278,20.728242772776,0.992372258105471,255.8922107596917
1e-05,2.2491457347704245,18.469861512370862,1.2221231697854544,330.6031213952772
1e-05,2.2368346530456287,17.936181494814456,1.273900991900187,352.30498890635704
1e-05,2.162822082974504,14.887674638196058,1.5708758832141176,505.8523982089572
1e-05,2.113028864299919,13.203218221242361,1.7149960603111756,632.9984933931654
1e-05,2.265833365014498,20.148810310802546,0.9621165872997526,302.8236631679695
1e-05,2.253423236954532,19.52605856838825,1.029794100429626,323.3049624366403
1e-05,2.2407462076767333,18.926279557333253,1.092521518628844,345.2966206859377
1e-05,2.107467264528392,13.549814528644033,1.6221208025993252,648.4501290944439
1e-05,2.0758262461339845,12.528481604514745,1.710933833092874,741.2371508905227
1e-05,1.932576177949031,8.671455090887495,2.0265407590803237,1265.4737506520223
1e-05,1.8781820025321347,7.2548995907458185,2.1638222403547154,1506.8970593409779
1e-05,1.8553399550092853,6.735661613602487,2.211162882294059,1614.4310009135704
1e-05,1.836000570197951,6.269850425734472,2.2580160366325446,1708.0775938179509
1e-05,1.819109455279624,5.843062637236541,2.3040872615973913,1791.6942043559193
1e-05,2.2493020741191354,20.408927382705564,0.8343490795971418,330.3341992990712
1e-05,2.2353670955762444,19.662986942034536,0.9210273234618451,354.96185476304333
1e-05,2.18844421580753,17.27240637739075,1.1970855556373088,448.0622505896407
1e-05,2.1754120845818994,16.682791405325972,1.2606130379704243,476.8235669032167
1e-05,2.1361435087620038,15.06325538620847,1.4277372483637467,571.4923714070949
1e-05,2.092434324573966,13.540960974230243,1.5668974159156899,691.4954370840748
1e-05,2.053870414610469,12.380531752474653,1.6613408305530701,810.5401484587762
1e-05,1.9706801092218245,10.132989303449794,1.8398607747652753,1109.6667607854104
1e-05,1.918339702620641,8.698866228456692,1.9736065146086932,1326.568739291215
1e-05,1.9021211071232724,8.248296081857347,2.0184542077584373,1398.0076352959109
1e-05,1.8809678807884194,7.738441414650417,2.0639210354757367,1494.0202067364555
1e-05,1.846095599472878,6.83936660606898,2.1544608063945048,1658.907231029384
1e-05,1.8024923213714792,5.645491531690795,2.288184986952021,1875.504055326104
1e-05,1.7829896981527005,5.199050978598166,2.3333186946016045,1975.677630389362
1e-05,2.13256058511962,15.604250934918776,1.305107929286872,580.741736053023
1e-05,2.0041091934458413,11.551427506940346,1.6596933202143869,982.5714333243401
1e-05,1.9851614552050523,11.031563611536537,1.7033568713786622,1053.4883395758247
1e-05,1.967809655325844,10.549752024195183,1.7459063009637534,1121.0035924822682
1e-05,1.950402583513705,10.069203770600701,1.7894742632413676,1191.1610622448848
1e-05,1.9340587566885619,9.60759101458615,1.83380030076309,1259.1997772332588
1e-05,1.8949021500318024,8.602391045133329,1.9248731596995008,1430.4190791396386
1e-05,1.8774459505524377,8.139071372374723,1.9704070362372827,1510.3080603478043
1e-05,1.8180247886883076,6.495094341756057,2.1490692595968612,1797.1191046585034
1e-05,2.1537543937873984,17.5252795619991,1.0043682028288048,527.528166136456
1e-05,2.1221929985332832,16.007553701155906,1.1845378969047657,608.0922757814002
1e-05,2.106698969245925,15.356223071925,1.2561272454824977,650.6047065446896
1e-05,2.0908180813204154,14.742550116557902,1.3198936731254824,696.2350779243545
1e-05,2.0371441592791366,13.038197277144716,1.471416020177907,866.0520999013879
1e-05,1.964084011647061,10.976259723727644,1.6483690760724878,1135.8165726385023
