rho_core_over_rho_core_sun,T_photo_K,log10_g_cm_s2,log10_L_over_Lsun
1e-05,135.5746626738031,0.9353888365892511,-7.579837572170716
1e-05,143.72562167322843,0.9923753164295468,-7.364965305720121
1e-05,163.17727623419094,1.100264501678656,-6.929819411271142
1e-05,174.42571611423062,1.1518635474619652,-6.7111658696457805
1e-05,229.41269409288378,1.3496108334322918,-5.845459532683174
1e-05,245.68329777238833,1.3974426730546732,-5.632953382579229
1e-05,263.5803575249021,1.4448448847371549,-5.418770522599507
1e-05,160.08409829931028,0.9147361031784713,-7.331273183489914
1e-05,194.50398724229262,1.0906782181821872,-6.641486627331533
1e-05,207.45088418488962,1.1438245100971658,-6.423794510829174
1e-05,252.22547915933694,1.2938264198549594,-5.787124793196563
1e-05,269.6219241504009,1.3418821837586425,-5.57622154966162
1e-05,377.0348229990088,1.5785878787422656,-4.529426260135283
1e-05,152.8533381258335,0.6435222970379448,-7.952735311258474
1e-05,164.49786533814338,0.7399422337546253,-7.632051904676386
1e-05,200.9018147734673,0.9599106404200237,-6.845163863328716
1e-05,214.25138852323218,1.0189035067984569,-6.615959608135993
1e-05,280.0015415526286,1.2338296736789913,-5.72208857668514
1e-05,320.6918352562954,1.334052774346095,-5.287351915655835
1e-05,415.22263642492254,1.528748896923828,-4.453101911666403
1e-05,255.8922107596917,0.992372258105471,-6.359297109110399
1e-05,330.6031213952772,1.2221231697854544,-5.455944604948344
1e-05,352.30498890635704,1.273900991900187,-5.242472597925781
1e-05,505.8523982089572,1.5708758832141176,-4.023069855278424
1e-05,632.9984933931654,1.7149960603111756,-3.349287288496944
1e-05,302.8236631679695,0.9621165872997526,-6.127524124321019
1e-05,323.3049624366403,1.029794100429626,-5.878423427355299
1e-05,345.2966206859377,1.092521518628844,-5.638511822933301
1e-05,648.4501290944439,1.6221208025993252,-3.487925811457613
1e-05,741.2371508905227,1.710933833092874,-3.0793926418058977
1e-05,330.3341992990712,0.8343490795971418,-6.231570953082224
1e-05,354.96185476304333,0.9210273234618451,-5.933194776813815
1e-05,448.0622505896407,1.1970855556373088,-4.9769625509563
1e-05,476.8235669032167,1.2606130379704243,-4.741116562130388
1e-05,571.4923714070949,1.4277372483637467,-4.093302154483387
1e-05,691.4954370840748,1.5668974159156899,-3.4843843896920976
1e-05,810.5401484587762,1.6613408305530701,-3.0202127009898607
1e-05,580.741736053023,1.305107929286872,-4.309700373967511
1e-05,527.528166136456,1.0043682028288048,-5.07811182479964
1e-05,608.0922757814002,1.1845378969047657,-4.471021480462364
1e-05,650.6047065446896,1.2561272454824977,-4.210489228769999
1e-05,696.2350779243545,1.3198936731254824,-3.9650200466231613
1e-05,866.0520999013879,1.471416020177907,-3.283278910857886
1e-05,560.8062728777834,0.847406139697124,-5.285509139690221
1e-05,811.5674527109836,1.3000613947183657,-3.7378151638098256
1e-05,875.811988865872,1.3510881434655126,-3.5032895181128243
1e-05,947.3613547128263,1.4008088143498036,-3.2680618524122185
1e-05,1022.6690376873188,1.4491805281440873,-3.0386023029478597
1e-05,907.7268267386571,1.2106224240565857,-3.7222856557015067
1e-05,1063.1009822803942,1.31859150401919,-3.2321288056374637
1e-05,1069.6975306175063,1.1256069297233928,-3.6069489773138894
1e-05,1247.7728718799683,1.0275824752045695,-3.5359347596240465
0.01,334.1922616731047,2.4402988196599122,-8.999121979423593
0.01,379.0238779797171,2.580758986203252,-8.49888681735027
0.01,428.90879529228636,2.7052711485151297,-8.035046281793212
0.01,533.4759946458813,2.8893790208589487,-7.287793161243895
0.01,573.3659200367172,2.9416851544065157,-7.0586008665309965
0.01,617.9266598209252,2.9911133103439145,-6.829048617465004
0.01,664.7014505267703,3.0359380526358137,-6.61325851442461
0.01,713.5886703853323,3.0790716254529364,-6.403362535439738
0.01,762.3866706882108,3.122728604813068,-6.201532438817582
0.01,810.9934207189918,3.1653372900529533,-6.008589191861033
0.01,865.1897506797625,3.208665033974995,-5.809576089167086
0.01,936.5569313709198,3.2522646972862406,-5.584574594792821
0.01,1021.6062670503585,3.294938045859481,-5.34832819129049
0.01,1631.012249586968,3.6016983362158674,-3.9224980106492833
0.01,1712.4040538288323,3.6457194082095943,-3.749344626013679
0.01,1820.1166742992282,3.6898924612746002,-3.5550216625524147
0.01,1928.654415172876,3.733990061399396,-3.3667206399085625
0.01,387.3153267430961,2.386428754361933,-8.849979289775897
0.01,415.26744154069854,2.4732291062256757,-8.555386806192521
0.01,443.0238068691177,2.5489872255447596,-8.291588648549316
0.01,470.42429354170986,2.617987680500079,-8.049536048094714
0.01,498.9577859262336,2.684383696517788,-7.814268258701825
0.01,576.7952999867885,2.835234136356607,-7.2609902523799175
0.01,707.6216806893301,2.9762761833867155,-6.623561398629965
0.01,910.840449613134,3.118368509205453,-5.901045093988982
0.01,991.3945477000314,3.16186065844773,-5.66616442260945
0.01,1249.4157840365633,3.289490152128149,-5.0093056951183765
0.01,1773.7673421898235,3.5561186092105146,-3.8671652062716344
0.01,1963.284344377657,3.6454762716365474,-3.5125916122614367
0.01,2232.216904056338,3.777643332988528,-3.0254416918503377
0.01,507.9922589279063,2.518586515994058,-8.114763104008395
0.01,540.58710727714,2.6136950797397946,-7.816229062057163
0.01,586.6452068699324,2.7024714049981773,-7.496861143207399
0.01,633.6007197406141,2.7674320321107793,-7.233126669643033
0.01,685.6873288350268,2.828704465197381,-6.973280700691452
0.01,953.3542895479152,3.0245695468412706,-6.009436948287801
0.01,1033.4229615513048,3.0670435779210083,-5.784081105083628
0.01,1110.0350552492564,3.1091224483614193,-5.575513698505317
0.01,1192.0249923525241,3.151763329205509,-5.366973720813382
0.01,1272.8584897946569,3.194038196635476,-5.168131797888405
0.01,1629.4941827947137,3.37429935022936,-4.37859613354413
0.01,1725.7000623088222,3.42060933736916,-4.186423945012072
0.01,1902.2936792636226,3.5109237576063324,-3.836468558309205
0.01,2068.428880225563,3.5998780234566325,-3.512675538993248
0.01,768.2780638157881,2.7830480728827225,-6.867116963715317
0.01,898.5632834427046,2.875074259623024,-6.410897030694189
0.01,1046.6401507857042,2.9613612992495923,-5.972975032855059
0.01,1291.5511759159097,3.092139129858264,-5.346527913194761
0.01,1391.855497808635,3.1385830850740293,-5.123960820115753
0.01,1491.2292372974487,3.1860931318466594,-4.9092549988219165
0.01,1681.7959766509348,3.2807003797223455,-4.51085500972558
0.01,1839.3652312672136,3.372722579516747,-4.170931600450677
0.01,2011.575052861983,3.463387431551127,-3.83436138095008
0.01,2208.0429360213093,3.5543829603125263,-3.4906490508195223
0.01,2307.6369777286122,3.5994542620722125,-3.323431746234357
0.01,900.2229016966966,2.72845126647609,-6.701123946459566
0.01,983.3536309312277,2.781203204989545,-6.441912189332699
0.01,1071.6441066723696,2.8325396077201805,-6.1900750077466835
0.01,1164.871124572301,2.882738017594551,-5.944811025788175
0.01,1543.234270371482,3.0826569595854814,-5.056393197018332
0.01,1623.30433739247,3.1316465323011338,-4.8703435340985965
0.01,1700.1631343338877,3.179314068073115,-4.694968075131053
0.01,1781.7286932691163,3.22638359339517,-4.519464343451412
0.01,1967.6249850731997,3.321883118467528,-4.156070100016356
0.01,2056.656756725681,3.369883462134912,-3.982773451593671
0.01,2243.905238376684,3.4630163347257223,-3.645231256075787
0.01,2334.5021782553986,3.5084740430593815,-3.4856842835783457
0.01,1108.6235307693894,2.6720732482458,-6.452025000637873
0.01,1207.1389332393555,2.731391116757192,-6.1854172088175385
0.01,1552.3681265904206,2.956435372381017,-5.298305623758859
0.01,1921.8662250374573,3.1715979976999025,-4.4973455785014895
0.01,2005.3375075261636,3.2234499340313194,-4.319326305717729
0.01,2083.3429187028923,3.2738389270760733,-4.152993781831741
0.01,2503.594851231163,3.4613454679065017,-3.4583055944165206
0.01,2650.79558152078,3.5075667071415153,-3.2669495068769105
