wavelength_nm,flux_erg_cm^-2_s^-1_nm^-1
9.089261538398229590e+00,0.000000000000000000e+00
9.349241750688358721e+00,0.000000000000000000e+00
9.609221104767833310e+00,0.000000000000000000e+00
9.769209695256373394e+00,0.000000000000000000e+00
9.959194824912122712e+00,0.000000000000000000e+00
1.019917642056074847e+01,0.000000000000000000e+00
1.037916315258483735e+01,0.000000000000000000e+00
1.055914993581685835e+01,0.000000000000000000e+00
1.076913426440740196e+01,0.000000000000000000e+00
1.103911367740220228e+01,0.000000000000000000e+00
1.139908673831454244e+01,0.000000000000000000e+00
1.177905902601522570e+01,0.000000000000000000e+00
1.212903400962864708e+01,0.000000000000000000e+00
1.247900826982825073e+01,0.000000000000000000e+00
1.270899235594032284e+01,0.000000000000000000e+00
1.283898324151624060e+01,0.000000000000000000e+00
1.304896844324193594e+01,0.000000000000000000e+00
1.323895467778949886e+01,0.000000000000000000e+00
1.338894476663572242e+01,0.000000000000000000e+00
1.365892552048490494e+01,0.000000000000000000e+00
1.397890319632974254e+01,0.000000000000000000e+00
1.432887975409337500e+01,0.000000000000000000e+00
1.471885388002177919e+01,0.000000000000000000e+00
1.509882879322825566e+01,0.000000000000000000e+00
1.551880142321869904e+01,0.000000000000000000e+00
1.587877790578560067e+01,0.000000000000000000e+00
1.619875823508381885e+01,0.000000000000000000e+00
1.659873283573313429e+01,0.000000000000000000e+00
1.702870673272231983e+01,0.000000000000000000e+00
1.733868748165093976e+01,0.000000000000000000e+00
1.767866742379699474e+01,0.000000000000000000e+00
1.801864770664156268e+01,0.000000000000000000e+00
1.816863866962491514e+01,0.000000000000000000e+00
1.860861421297595086e+01,0.000000000000000000e+00
1.909858687206719807e+01,0.000000000000000000e+00
1.938857020133870179e+01,0.000000000000000000e+00
1.983854719057774574e+01,0.000000000000000000e+00
2.017852984034201214e+01,0.000000000000000000e+00
2.049851343246726998e+01,0.000000000000000000e+00
2.104848585569515151e+01,0.000000000000000000e+00
2.161846085744682711e+01,0.000000000000000000e+00
2.197844340434060229e+01,0.000000000000000000e+00
2.229842916836041766e+01,0.000000000000000000e+00
2.267841423179622495e+01,0.000000000000000000e+00
2.299840091241585327e+01,0.000000000000000000e+00
2.339838487326430894e+01,0.000000000000000000e+00
2.399836307574519978e+01,0.000000000000000000e+00
2.464834050127540976e+01,0.000000000000000000e+00
2.523832222674867154e+01,0.000000000000000000e+00
2.567831012070607244e+01,0.000000000000000000e+00
2.599830123120186798e+01,0.000000000000000000e+00
2.639829085758120897e+01,0.000000000000000000e+00
2.684828138411970144e+01,0.000000000000000000e+00
2.734827129380370891e+01,0.000000000000000000e+00
2.784826259589437925e+01,0.000000000000000000e+00
2.839825392615961164e+01,0.000000000000000000e+00
2.899824773564403202e+01,0.000000000000000000e+00
2.959824376727795681e+01,0.000000000000000000e+00
3.009824190076698258e+01,0.000000000000000000e+00
3.079824093094534732e+01,0.000000000000000000e+00
3.179824708661490007e+01,0.000000000000000000e+00
