#Xi,#Rho,#Lumi,#Mass,#Temp,#G,#Gbp-Grp,#Rad,#O2S,#O2L,#H1S,#N2S,#N2L,#S2S,#S2L,#S3S,#S3L,#Halpha,#Hbeta,#HaNII,#HaSII,#SS
-23.00210913,-14.27635936,-13.73643377,14.10149492,3.934791249,47.74518891,1.01339952,9.801986495,-3.91649738,-4.609064893,-2.045275209,-3.434152181,-3.250263684,-1.694648631,-2.43062609,-7.036164969,-6.296021175,-1.8569852,1.223366126,1.174531852,-0.235564776,0.73597746
-22.48511736,-11.27635936,-10.56262711,16.75814271,3.696635925,39.67176282,1.293530681,9.848466238,-5.91649738,-5.325322532,-1.811352704,-4.223807485,-4.218963061,-2.00806545,-2.292600169,-9.058488567,-8.272377422,-1.001740662,1.287756955,2.918607861,0.8246652,0.284534719
-17.58216349,-14.27635936,-13.84302961,8.530723393,4.211387553,50.03416002,1.150807067,7.40654018,-5.359419194,-6.355955507,-1.064039531,-6.164309429,-6.011441043,-6.2892059,-6.026410377,-4.267686673,-5.430860275,-0.46470588,1.239399593,5.315447734,5.372490828,-0.262795523
-17.50072464,-13.77635936,-8.659294265,13.67651844,4.160558562,36.39078312,1.293638613,8.975201962,-7.187086643,-6.170053304,-1.452348342,-5.442492798,-6.920818754,-6.349984048,-6.100891142,-5.228265575,-7.826813732,-0.175874166,1.351448423,5.252417002,5.730914342,-0.249092906
-21.00049566,-15.27635936,-12.54250132,13.29389259,4.066176786,46.65165267,0.993276791,9.657486108,-3.808828544,-3.73072061,-1.406049705,-3.241012453,-2.277777536,-2.419873675,-2.783042793,-5.413187731,-5.919012953,-0.022047879,1.263375651,2.210863075,2.241475939,0.363169118
-22.50190498,-15.77635936,-14.59325448,12.74452917,4.032538179,51.0216659,0.938100844,9.725298943,-2.381638069,-3.414313722,-1.552841969,-2.687399561,-1.620331966,-1.159016163,-1.299902295,-6.466609292,-5.689944262,-0.533280628,1.208656301,1.051345321,0.389460508,0.140886133
-22.50222014,-15.27635936,-14.12215923,13.21592798,4.013637612,49.7203967,0.960596536,9.74737296,-2.635824367,-3.121363327,-1.594995335,-2.363311552,-2.762707662,-1.131061822,-1.505428016,-7.274088368,-5.290899718,-0.369979149,1.219924913,1.847619899,0.608087685,0.374366194
-16.99441763,-13.27635936,-7.678871715,14.15155881,4.160618572,37.36359058,0.834422181,9.247359422,-6.164119268,-6.303993285,-1.354381262,-6.692290077,-5.378719832,-7.70333481,-7.150887834,-3.869666232,-3.419531216,-0.598771833,1.341276211,4.759347716,6.444819596,-0.552446976
-16.9724729,-12.27635936,-5.19995188,16.60871341,4.106156887,28.77418452,0.93864496,9.866553152,-6.755228239,-6.479385478,-1.580374639,-6.076652344,-5.142064735,-7.246263778,-7.26744542,-3.124071015,-4.246263778,-0.329846955,1.411131271,4.764454285,6.625848526,0.021181642
-23.00116498,-13.27635936,-12.84548501,14.99145013,3.858398827,44.97310376,1.109432992,9.826754881,-3.037772769,-4.29030613,-1.02691835,-3.247797847,-2.46130062,-2.785156152,-1.48598382,-8.10259286,-7.246340353,-0.217384068,1.237769874,2.17815227,1.247321812,-1.299172332
-22.50244896,-14.77635936,-13.65537193,13.68293083,3.990827051,48.38364606,0.996743288,9.768156929,-3.635824367,-3.400116928,-1.674689628,-2.433444669,-3.462180905,-1.086981316,-1.720561212,-8.226945307,-6.158890916,-0.229810977,1.230525555,2.164776225,0.766383949,0.633579895
-22.49877174,-12.27635936,-11.40699108,15.92751288,3.819017199,41.87652508,1.426585013,9.83610248,-5.330683119,-4.265120197,-1.029513651,-3.474178048,-3.028214062,-3.742321425,-2.046433586,-9.353596274,-7.519274621,-0.05104939,1.270049643,2.844224566,1.986723379,-1.695887839
-22.50240273,-14.27635936,-13.19258505,14.14565598,3.965116998,47.00491637,1.034578521,9.78650298,-3.630969778,-3.618343517,-1.788612447,-3.091139827,-2.519418213,-1.846490011,-1.200108315,-7.191383965,-6.143754599,-0.111989088,1.240349527,2.304279519,0.999719067,-0.646381695
-23.00052849,-12.77635936,-12.4159075,15.42035691,3.809398087,43.79610164,1.242835998,9.83629246,-3.417368561,-4.391473966,-1.062281556,-3.334700501,-3.684029655,-3.184422252,-1.072578305,-8.068186296,-7.852323676,-0.026456531,1.242466886,3.14766317,1.042777766,-2.111843947
-16.49553004,-12.77635936,-8.371542544,12.95904596,4.161038412,39.08693121,0.852267182,8.682596291,-6.026041314,-6.97798426,-1.841336019,-6.133122186,-7.185086819,-8.562249437,-8.874518734,-3.083125121,-4.189700259,-0.151010794,1.328522306,5.945194064,8.238861593,0.312269297
-22.48475242,-10.77635936,-10.15039849,17.16995463,3.637319581,38.24615878,0.177882428,9.847911819,-6.085128182,-5.159705668,-2.120330794,-4.049099911,-4.277119389,-2.236871623,-2.062482108,-9.040529298,-8.325690111,-0.294649537,1.29154644,3.552634152,1.545302323,-0.174389515
-22.50088143,-12.77635936,-11.83866754,15.49798271,3.866334607,43.05669823,1.31753925,9.826884299,-4.596022036,-4.412176829,-1.021865153,-3.050122296,-3.240785569,-2.301725423,-3.657577319,-8.938170693,-7.095284455,-0.202524712,1.263778049,2.6315191,2.08047088,1.355851896
-21.50122397,-17.77635936,-15.65252511,10.68452987,4.160168293,54.39908774,1.069879963,9.377579421,-2.187822226,-2.192126868,-1.325322532,-1.431798276,-2.415668776,-2.327348077,-1.562725203,-4.097997109,-3.458670422,-0.220619989,1.184123354,1.168294278,1.273199807,-0.764622875
-22.99867109,-12.27635936,-11.98649945,15.84786898,3.760505414,42.76968359,1.34642851,9.843263932,-4.172630727,-4.788345599,-1.093934455,-3.089856039,-3.533725678,-2.035929029,-1.23395914,-8.021180613,-7.361410917,-0.530177984,1.246326208,2.426184706,0.640158089,-0.80196989
