"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-23.5","-15.776","-16.0915269950411","11.2431649395492","4.03151867661059","54.7811917574169","0.953332384744379","9.22776069308257","-2.41984859373815","-2.61030594375834","-1.63008055750823","-2.26373763946193","-2.11715671706993","-1.17112231807853","-1.32522771880747","-5.90814634019139","-4.73104479807322","-0.463745973920638","1.16589305881607","1.19166347990933","1.19166347990933","0.154105400728947"
"-23.0","-15.776","-15.5643774254399","11.2703499681309","4.04957905986252","53.7470257610349","0.906079770872393","9.19873311059828","-3.30899705296289","-3.29152029591334","-1.55589617285514","-2.0740305858128","-1.63661866626523","-1.5073523325561","-1.20706891784287","-5.40676189624974","-4.85865219137936","-0.757947814425977","1.18282621248973","0.680965669807615","0.680965669807615","-0.300283414713237"
"-22.5","-15.776","-15.0384956280804","11.2962646057456","4.06721733777555","52.6958368850455","0.925660770360475","9.16352169464595","-2.81805150421507","-3.03477526810078","-1.49776734961384","-2.21354194986899","-2.3716638797107","-2.28680826893427","-1.98128304137979","-4.91581522900052","-4.27220425959666","-0.43807255457073","1.19905164448134","1.49820566963071","1.49820566963071","-0.305525227554479"
"-22.0","-15.776","-14.5142926427164","11.3204978987307","4.08502101838355","51.6044648316397","1.00169065332693","9.1242439963729","-2.59279790533293","-3.58657001762057","-1.4453937799497","-2.58022546464047","-2.08590099527244","-2.7476397931299","-3.14209181092533","-4.77779144379016","-5.36815875920583","-0.0535471859400397","1.21395758363262","1.89892926802925","1.89892926802925","0.394452017795433"
"-21.5","-15.776","-14.0667856038777","11.2679122511032","4.11016645516898","50.6195373499621","1.07967739275237","9.03498400961145","-3.14263582587298","-3.79833825366751","-1.36457160804199","-2.95446869251131","-2.24096992408739","-3.30531104096608","-4.08957640838404","-4.52811023142853","-5.58043530136427","-0.145645724954995","1.22637553508961","2.00195426123711","2.00195426123711","0.78426536741796"
"-21.0","-15.776","-13.6359207616529","11.1986735011755","4.13537130180528","49.5361002404167","1.11101328634224","8.94276816870448","-3.67615609957034","-3.92795793731375","-1.35073703488019","-3.11992342155286","-2.78168082013381","-4.19615660010548","-4.33443584845594","-4.29684029507941","-5.13443903032281","-0.245770061351236","1.2391777870095","2.32946848178518","2.32946848178518","0.138279248350463"
"-20.5","-15.776","-13.2124140810309","11.1220516400528","4.16069087735118","48.4707262471605","1.14211427652998","8.8480408444173","-4.20696105656476","-4.05976323819568","-1.33731539499408","-3.29382354010892","-3.32004357576967","-5.07911379606641","-4.57951514269342","-4.06533503984895","-4.68726020139247","-0.346345883356862","1.25178397438747","2.65643227776896","2.65643227776896","-0.499598653372989"
"-24.0","-15.276","-16.15264355043","11.681968345272","3.99030694573483","54.4520285296219","1.03026130252895","9.2708149767758","-2.15321029728295","-3.04349383240154","-1.75010696882986","-2.22090844589515","-2.18137907752204","-1.18018138516089","-0.548258941323495","-6.35236935951959","-5.17644455184734","-0.200522866170599","1.16105907039403","1.69699909816184","1.69699909816184","-0.631922443837393"
"-23.5","-15.276","-15.6193340649806","11.7153206023977","4.01348231094703","53.4738435726683","0.960509138201052","9.2498164462413","-2.65503638335135","-3.13598417279939","-1.6368879276726","-2.4007655123581","-3.23619519202583","-1.11450952237094","-1.39146118288568","-6.27400519577659","-5.18153772171891","-0.342886574301683","1.17883743533818","1.99757930244092","1.99757930244092","0.276951660514743"
"-23.0","-15.276","-15.0906535577194","11.7440365579027","4.03282905154407","52.4582176213682","0.908495021400528","9.22521117769583","-3.53846624227616","-3.83622612318501","-1.55276117696598","-2.01903185433447","-2.10696611322379","-1.73128920781665","-1.1360022976678","-5.42013397160801","-5.03379537910783","-0.533830513145715","1.19534912049977","1.22532218859731","1.22532218859731","-0.595286910148849"
