"#Xi","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","#HaNII","#HaSII","#SS"
"-22.951714408593467","-9.776359361583042","-10.868134849414327","13.89707192152586","3.826534781534394","39.72500082118354","1.2610374547703955","8.321184027302314","-7.854182285508172","-8.489991487059765","-1.1363797797296844","-7.256882374785258","-6.195792394917959","-5.638649975647733","-5.102372908709558","-9.156144577376839","-8.891434976267165","0.7639518260333242","1.3139726188606071","6.923563406431218","5.755436818401869","-0.5362770669381751"
"-19.9924173153859","-11.776359361583042","-9.39982767635135","12.416756827230849","4.084897858461355","36.611494443092525","1.0074719924577167","8.377488383376132","-7.766496239658865","-7.2396529214700935","-2.2865094569060576","-8.216811308924742","-6.705533773838407","-9.527243550682787","-8.93070198788447","-5.114525697170842","-6.00436480540245","-0.0987051828344328","1.356618541969091","6.593649048348646","8.73397748241739","-0.5965415627983168"
"-25.035413353088657","-14.276359361583042","-17.190263449496552","9.663228008275757","3.991221644093539","57.53667059853967","1.040152927069549","8.26599637049508","-4.1444808443322","-4.074069402131529","-1.7373116556983035","-3.2336615247487126","-2.1897674820049158","-2.078001568691729","-1.4640732586044307","-5.581864501574768","-4.609948503541013","-0.2016947179780235","1.1304302676581413","1.9504921002231121","1.1678163862982731","-0.6139283100872982"
"-26.0369714977617","-14.276359361583042","-18.274306813861664","9.579624288847212","3.934594389427021","59.10193095193742","1.0124491769846031","8.299942900022767","-4.047207556955908","-4.669586226650809","-2.382999658879101","-3.6363880201078556","-3.7986028756795487","-1.8074325466634544","-1.031330298279608","-6.154405906839975","-5.50265561898242","-1.0414361167780326","1.0866445206108053","2.3674992761954683","-0.07734591523464125","-0.7761022483838463"
"-22.53481276174204","-10.776359361583042","-11.295732584900636","13.054633775897635","3.941392159191468","41.103298031022234","1.380340447775275","8.288919605661727","-7.068338760315519","-7.336204877780593","-1.1205027127505713","-6.276216063034671","-6.293709042741237","-5.050073556332088","-5.544850478820172","-7.006431517210273","-8.317313521750233","0.6573427368146261","1.304404349683731","6.641187224863171","5.586824639794757","0.49477692248808425"
"-19.993959182574805","-10.776359361583042","-8.553830457239332","13.259761102135933","4.048014290938054","34.36755443337312","1.1157530007598808","8.427323786357247","-8.19586056766465","-7.2693792021127175","-1.634137784597445","-7.779891911959945","-6.281664421091493","-8.247030134970915","-7.7801536139756395","-5.099086932262331","-6.058637664288239","-0.02659502558993932","1.365150901493603","6.241494032293188","7.62603592314127","-0.46687652099527654"
"-20.172204647348046","-8.776359361583042","-6.910664288512485","15.076953876830173","3.962369335670021","29.837728295338263","1.2214920882291622","8.494850021680094","-7.384576047114056","-8.457050151185822","-1.199833009798636","-8.98296666070122","-7.058389197846366","-7.714892970433188","-7.152797636019076","-6.095609079987638","-6.5892227666227905","-0.32919771573905604","1.382053082115315","6.724055349227359","6.718397344683919","-0.5620953344141119"
"-26.0369714977617","-14.276359361583042","-18.274306813861664","9.579624288847212","3.934594389427021","59.10193095193742","1.0124491769846031","8.299942900022767","-4.047207556955908","-4.669586226650809","-2.382999658879101","-3.6363880201078556","-3.7986028756795487","-1.8074325466634544","-1.031330298279608","-6.154405906839975","-5.50265561898242","-1.0414361167780326","1.0866445206108053","2.3674992761954683","-0.07734591523464125","-0.7761022483838463"
"-24.534014056625118","-14.776359361583042","-17.127012627171254","9.225900041318715","4.032900678732676","57.8396075916411","0.9605288627383786","8.226599905207358","-3.1669804529234686","-5.045757490560675","-1.6010189333418687","-3.5325398904927363","-2.8239087409443187","-2.036401037402759","-4.017728766960432","-4.739928612014925","-4.122340755888391","-0.4726279171723881","1.1357685145678222","2.2736949174046877","1.559262881699414","1.981327729557673"
"-24.534440704142646","-14.276359361583042","-16.656305143442605","9.69664484451261","4.014058277424336","56.63108649961377","1.0472679434437424","8.246744709723842","-3.4748255721647285","-5.578396073130169","-1.6152882570617175","-3.0664114898033468","-2.862329462763245","-2.0829148093594325","-2.318668294030834","-5.768530409569319","-5.294136287716081","-0.34756025241057986","1.149311505907915","2.3039012463314266","1.536396820740214","0.2357534846714016"
"-22.538619335381238","-11.276359361583042","-11.754341291987702","12.600669944765919","3.9675620156842353","43.11348902691133","1.3676775454279664","8.275311354541811","-6.151995728502731","-7.338092707233979","-1.2509597312965428","-6.704432900037521","-5.082547008070336","-6.184422251675732","-4.83209218999852","-6.171533452647322","-7.192194467729376","0.8414846093353932","1.2860745538755736","5.913780696623238","5.654697732602145","-1.3523300616772127"
"-24.5353117899877","-13.776359361583042","-16.19024633641749","10.163138648973431","3.991562744966425","55.43380939042606","1.1527867856148646","8.263636068588108","-4.21367456560993","-4.309803919971486","-1.6691805335041632","-4.8996294548824375","-3.030258023237146","-2.0839673898114306","-2.7587026128900067","-5.095284454721319","-5.170696227168975","-0.22388020094701225","1.1619367052457805","2.800550141159326","1.7767717298462664","0.6747352230785761"
"-23.532661820185673","-14.276359361583042","-15.600858521397713","9.751013848370379","4.0496056125949735","54.56821531194693","1.1233491480469198","8.194514341882467","-4.396747338018353","-5.467245621007502","-1.4438181533470889","-3.260427655549908","-3.246953438373471","-3.4489161348142194","-3.0446971772383082","-4.212327035312507","-4.557206774060231","-0.9108016331948511","1.183639904221352","2.0418066646047053","1.9895522496819182","-0.4042189575759113"
"-23.534099901276612","-13.776359361583042","-15.128053275292121","10.224899836222281","4.033101936663848","53.41717414586212","1.1648900424885227","8.218797998111738","-4.147886139150239","-5.653647025549361","-1.460672936460625","-4.806597096937582","-3.3932962586663256","-3.1315319009790135","-3.3106911408763797","-4.048079926479707","-4.239426746055606","-0.6013656754616079","1.1957613200360613","2.775478107216228","2.3095420686956727","0.17915923989736646"
"-22.030641254375475","-14.776359361583042","-14.545064233287322","9.305281773660479","4.1303337684950066","51.934369482361404","1.1469766230220628","7.997823080745725","-4.189162848859512","-5.635449004646028","-1.3701828039814843","-4.25328797748334","-4.31069114087638","-4.470826396738277","-5.543633966870957","-3.339229356472303","-4.417255034308723","-0.2557852751858342","1.2176681512862788","3.7242265652228803","4.1797853978161825","1.0728075701326798"
"-22.02965787545012","-14.276359361583042","-14.03274525801431","9.816919576433778","4.106088858382442","50.719014843734115","1.1485938412535717","8.062581984228164","-5.0082424604656515","-5.109076228510986","-1.407823242604133","-4.436400271118469","-4.011084479487313","-4.472627917172388","-5.605548319173784","-4.07350321072678","-4.34332695411515","-0.19921420967223738","1.2300655512060468","3.6733893995511555","4.242557368524436","1.1329204020013957"
"-22.030253271633164","-13.776359361583042","-13.548917476469915","10.301168833401746","4.085040706742194","49.58320431424791","1.1542339084979716","8.1156105116743","-5.090123182009608","-5.697452627512514","-1.5236031732746698","-4.306888884537859","-4.395665926897089","-4.462055040708513","-5.361510743045363","-4.018498511851753","-5.355561410532162","-0.12056003400478296","1.2412475512637162","3.9274228759477907","4.289937169731453","0.8994557023368496"
"-22.53481276174204","-10.776359361583042","-11.295732584900636","13.054633775897635","3.941392159191468","41.103298031022234","1.380340447775275","8.288919605661727","-7.068338760315519","-7.336204877780593","-1.1205027127505713","-6.276216063034671","-6.293709042741237","-5.050073556332088","-5.544850478820172","-7.006431517210273","-8.317313521750233","0.6573427368146261","1.304404349683731","6.641187224863171","5.586824639794757","0.49477692248808425"
